journal,n_papers
Environment international,10
Frontiers in public health,6
International journal of environmental research and public health,6
Journal of environmental sciences (China),6
Frontiers in endocrinology,3
The Science of the total environment,3
Research report (Health Effects Institute),3
Environmental research,3
Journal of hazardous materials,2
Environmental science & technology,2
