journal,n_papers
Journal of environmental sciences (China),15
Frontiers in public health,6
International journal of environmental research and public health,6
Toxics,5
"Antioxidants (Basel, Switzerland)",4
"Environment & health (Washington, D.C.)",4
"Sensors (Basel, Switzerland)",2
Journal of health & pollution,2
International journal of epidemiology,2
Journal of hazardous materials,2
