date,Warszawa,Katowice
2021-01-01,31.43041666666667,36.67954090909091
2021-01-02,38.214166666666664,67.85557916666666
2021-01-03,40.15625,79.0252375
2021-01-04,27.682916666666667,65.70612916666667
2021-01-05,11.217500000000001,21.084033333333334
2021-01-06,20.172083333333333,39.151854166666666
2021-01-07,21.684166666666666,27.326679166666665
2021-01-08,32.125416666666666,26.74491666666667
2021-01-09,40.762499999999996,32.04467916666667
2021-01-10,26.12,66.6868625
2021-01-11,31.139166666666668,92.32047916666666
2021-01-12,37.862500000000004,16.88224166666667
2021-01-13,23.464166666666667,21.615544166666666
2021-01-14,25.081666666666667,24.958045833333333
2021-01-15,19.977083333333333,29.884929166666666
2021-01-16,25.68166666666667,23.593587499999998
2021-01-17,38.081250000000004,46.661024999999995
2021-01-18,105.97500000000001,54.319775
2021-01-19,99.20541666666666,26.368054166666667
2021-01-20,41.12291666666667,17.6399225
2021-01-21,33.95666666666667,19.24509958333333
2021-01-22,30.407916666666665,17.158437083333332
2021-01-23,28.155,19.294168333333335
2021-01-24,22.532083333333333,23.73257083333333
2021-01-25,21.46083333333333,28.829391666666666
2021-01-26,18.677083333333332,32.32017916666667
2021-01-27,15.577916666666667,34.44009166666667
2021-01-28,28.084999999999997,36.50697916666667
2021-01-29,17.442083333333333,31.863947083333333
2021-01-30,27.784583333333334,37.761208333333336
2021-01-31,25.531666666666666,34.312287500000004
2021-02-01,53.2275,54.619683333333334
2021-02-02,45.09583333333333,44.1423625
2021-02-03,45.619166666666665,24.726920833333335
2021-02-04,16.020416666666666,21.788466666666665
2021-02-05,22.071250000000003,38.768366666666665
2021-02-06,27.0275,26.19417083333333
2021-02-07,16.212500000000002,27.082920833333333
2021-02-08,18.35625,39.250075
2021-02-09,38.51375,82.71684583333334
2021-02-10,78.96083333333333,91.62817916666667
2021-02-11,31.115416666666665,47.779725000000006
2021-02-12,14.985416666666666,54.143437500000005
2021-02-13,19.92125,43.91482083333333
2021-02-14,15.53125,34.9885875
2021-02-15,27.580833333333334,57.83753333333333
2021-02-16,34.33416666666667,54.908166666666666
2021-02-17,69.91958333333334,35.289833333333334
